Alburnus istanbulensis,Alburnus istanbulensis,,Full Migrant,,,,,,,,Potamodromous,,,,Breeding,IUCN,IUCN,"potamodromous, longitudinal",Palearctic,more than one central river,Least Concern,Stable,2024,0-100(km),2,,,https://doi.org/10.1134/S1995082923020165,Paper,,,,,,,,Alburnus istanbulensis,,,,,,,,Alburnus istanbulensis,,,potamodromous
Alburnus leobergi,Alburnus leobergi,,Full Migrant,,,,,,,,Semi-anadromous,,,,,,,anadromous,Palearctic,one large river,Vulnerable,Decreasing,2024,500-3000(km),3,Obligatory,Partial pop mig.,,,,,,,,,,Alburnus leobergi,,,,,,,,Alburnus leobergi,,,semi-anadromous
Alburnus mandrensis,Alburnus mandrensis,,Full Migrant,,,,,,,,Potamodromous,,,,Breeding,IUCN,IUCN,"potamodromous, longitudinal",Palearctic,more than one central river,Endangered,Unknown,2024,0-100(km),2,,,,,,,,,,,,Alburnus mandrensis,,,,,,,,Alburnus mandrensis,,,potamodromous
Alburnus mento,Alburnus mento,,Full Migrant,,,,,,,,Potamodromous,,,,Breeding,IUCN,IUCN,"potamodromous, longitudinal",Palearctic,more than one central river,Least Concern,Stable,2024,0-100(km),3,,,https://doi.org/10.1038/s41598-019-51398-0,Paper,https://www.researchgate.net/publication/258359274_Long-term_investigation_on_fish_migration_patterns_between_pre-alpine_lakes_and_their_major_tributaries_with_special_focus_on_protected_species_within_SAC_areas,Paper,,,,,,Alburnus mento,,,,,,,,Alburnus mento,,,potamodromous
Alburnus mentoides,Alburnus mentoides,,Full Migrant,,,,,,,,Potamodromous,,,,Breeding,IUCN,IUCN,"potamodromous, longitudinal",Palearctic,more than one central river,Endangered,Unknown,2024,0-100(km),3,,,https://doi.org/10.1134/S0097807823020100,Paper,https://doi.org/10.1134/S2075111716040044,Paper,https://doi.org/10.1111/jbi.13019,Paper,,,,Alburnus mentoides,,,,,,,,Alburnus mentoides,,,potamodromous
Alburnus nicaeensis,Alburnus nicaeensis,,Full Migrant,,,,,,,,(Potamodromous),,,,Breeding,IUCN,IUCN,"potamodromous, longitudinal",Palearctic,more than one central river,Extinct,Unspecified,2014,0-100(km),2,,,,,,,,,,,,Alburnus nicaeensis,,,,,,,,Alburnus nicaeensis,,,potamodromous
Alburnus sarmaticus,Alburnus sarmaticus,,Full Migrant,,,,,,,,Semi-anadromous,,,,,,,anadromous,Palearctic,one large river,Endangered,Decreasing,2024,500-3000(km),3,Obligatory,Partial pop mig.,https://doi.org/10.22541/au.170602276.61445368/v1,Paper,,,,,,,,Alburnus sarmaticus,,,,,,,,Alburnus sarmaticus,,,semi-anadromous
Alburnus sava,Alburnus sava,potamodromous,,,,,,,,,(Potamodromous),,,,Breeding,FishBase,FishBase,"potamodromous, longitudinal",Palearctic,one large river,Least Concern,Unknown,2024,100-500(km),2,,,https://doi.org/10.3897/zookeys.688.11261,Paper,https://doi.org/10.1515/cjf-2017-0017,Paper,,,,,Alburnus sava,,,,,,,,,Alburnus sava,,,
Alburnus schischkovi,Alburnus schischkovi,,Full Migrant,,,,,,,,Potamodromous,,,,Breeding,IUCN,IUCN,"potamodromous, longitudinal",Palearctic,more than one central river,Near Threatened,Unknown,2024,0-100(km),3,,,https://doi.org/10.3153/AR21004,Paper,https://www.researchgate.net/publication/284900594_Freshwater_fishes_of_Turkey_A_revised_and_updated_annotated_checklist,Paper,,,,,,Alburnus schischkovi,,,,,,,,Alburnus schischkovi,,,potamodromous
Alburnus scoranza,Alburnus scoranza,,Full Migrant,,,,,,,,Potamodromous,,,,Breeding,IUCN,IUCN,"potamodromous, longitudinal",Palearctic,one large river,Near Threatened,Decreasing,2024,0-100(km),3,,,,,,,,,,,,Alburnus scoranza,,,,,,,,Alburnus scoranza,,,potamodromous
Alburnus tarichi,Alburnus tarichi,,Full Migrant,,,,,,,,(Potamodromous),,,,Breeding,IUCN,IUCN,"potamodromous, longitudinal",Palearctic,one large river,Near Threatened,Decreasing,2014,0-100(km),3,,,,,,,,,,,,Alburnus tarichi,,,,,,,,Alburnus tarichi,,,potamodromous
Alburnus vistonicus,Alburnus vistonicus,,Full Migrant,,,,,,,,Potamodromous,,,,Breeding,IUCN,IUCN,"potamodromous, longitudinal",Palearctic,one large river,Endangered,Unknown,2024,0-100(km),2,,,https://doi.org/10.1007/s10750-021-04621-x,Paper,,,,,,,,Alburnus vistonicus,,,,,,,,Alburnus vistonicus,,,potamodromous
Alburnus volviticus,Alburnus volviticus,,Full Migrant,,,,,,,,,,,,Breeding,IUCN,IUCN,"potamodromous, longitudinal",Palearctic,more than one central river,Endangered,Unknown,2024,0-100(km),3,,,,,,,,,,,,Alburnus volviticus,,,,,,,,,,,potamodromous
Aldrichetta forsteri,Aldrichetta forsteri,catadromous,Full Migrant,,,,,,,,,,,,,,,amphidromous,Australasian,more than one central river,Least Concern,Stable,2014,0-100(km),1,,,https://biostor.org/reference/256723,Paper,https://doi.org/10.1007/s11230-022-10023-x,Paper,https://doi.org/10.1071/MF9810605,Paper,,,Aldrichetta forsteri,Aldrichetta forsteri,,,,,,,,,,,
Alepes djedaba,Alepes djedaba,amphidromous,,,,,,,,,,,,,,,,amphidromous,,coastal,Least Concern,Unknown,2016,0-100(km),3,,,,,,,,,,,Alepes djedaba,,,,,,,,,,,,
Alestes baremoze,Alestes baremoze,potamodromous,Full Migrant,,,,,,,,,,,,Breeding,,,"potamodromous, longitudinal",Afrotropical,more than one central river,Least Concern,Unknown,2020,100-500(km),2,,,https://doi.org/10.1007/BF00008588,Paper,https://horizon.documentation.ird.fr/exl-doc/pleins_textes/divers21-02/010064591.pdf,Book,https://doi.org/10.21072/mbj.2022.07.1.05,Paper,,,Alestes baremoze,Alestes baremoze,,,,,,,,,,,
Alestes dentex,Alestes dentex,potamodromous,Full Migrant,,,,,,,,,,,,Little information,IUCN,IUCN,"potamodromous, longitudinal",Afrotropical,more than one central river,Least Concern,Unknown,2020,100-500(km),3,,,https://doi.org/10.1111/j.1365-2427.1986.tb01011.x,Paper,https://horizon.documentation.ird.fr/exl-doc/pleins_textes/divers21-02/010064591.pdf,Book,,,,,Alestes dentex,Alestes dentex,,,,,,,,,,,
Alestes macrophthalmus,Alestes macrophthalmus,,Full Migrant,,,,,,,,,,,,Breeding,IUCN,IUCN,"potamodromous, lateral",Afrotropical,more than one central river,Least Concern,Unknown,2020,0-100(km),3,,,,,,,,,,,,Alestes macrophthalmus,,,,,,,,,,,lateral migrant
Algansea tincella,Algansea tincella,,,,Suspected potamodromous,,,,,,,,,,,,,"potamodromous, longitudinal",Nearctic|Neotropical,more than one central river,Least Concern,Stable,2019,0-100(km),2,,,,,,,,,,,,,,Algansea tincella,,,,,,,,,
Allenbatrachus grunniens,Allenbatrachus grunniens,amphidromous,,,,,,,,,,,,,,,,amphidromous,,coastal,Least Concern,Unknown,2024,0-100(km),3,,,,,,,,,,,Allenbatrachus grunniens,,,,,,,,,,,,
Alosa aestivalis,Alosa aestivalis,anadromous,Full Migrant,,Anadromous,,,,,,,,,,,,,anadromous,Nearctic,more than one central river,Vulnerable,Decreasing,2013,0-100(km),2,,,https://core.ac.uk/download/pdf/11019187.pdf,Paper,,,,,,,Alosa aestivalis,Alosa aestivalis,,Alosa aestivalis,,,,,,,,,
Alosa alabamae,Alosa alabamae,anadromous,Full Migrant,,Anadromous,,,,,,,,,,,,,anadromous,Nearctic,more than one central river,Near Threatened,Decreasing,2021,100-500(km),2,,,https://doi.org/10.1577/M07-124.1,Paper,,,,,,,Alosa alabamae,Alosa alabamae,,Alosa alabamae,,,,,,,,,
Alosa algeriensis,Alosa algeriensis,anadromous,Full Migrant,,,,,,,,Anadromous,,,,,,,anadromous,Palearctic,more than one central river,Endangered,Decreasing,2022,100-500(km),1,,Partial pop mig.,https://assets.publishing.service.gov.uk/media/5a7c543840f0b62dffde1617/sw1-014-tr-e-e.pdf,Paper,https://doi.org/10.31396/Biodiv.Jour.2021.12.4.957.966,Paper,,,,,Alosa algeriensis,Alosa algeriensis,,,,,,,,Alosa algeriensis,,,
Alosa alosa,Alosa alosa,anadromous,Full Migrant,,,,,,,,Anadromous,,,,,,,anadromous,Palearctic,more than one central river,Critically Endangered,Decreasing,2024,500-3000(km),3,,,"Quignard, J.-P. and C. Douchement, 1991. Alosa alosa (Linnaeus 1758). p. 89-126. In H. Hoestlandt (ed.) The freshwater fishes of Europe. Vol. 2. Clupeidae, Anguillidae. AULA-Verlag Wiesbaden. https://www.abebooks.com/9783891040416/Freshwater-Fishes-Europe-Clupeidae-Anguillidae-3891040415/plp",Book,,,,,,,Alosa alosa,Alosa alosa,,,,,,,,Alosa alosa,,,
Alosa braschnikowi,Alosa braschnikowi,,Full Migrant,potamodromous,,,,,,,,,,,,,,coastal,Palearctic,coastal,Data Deficient,Unknown,2017,100-500(km),3,,,,,,,,,,,,,Alosa brashnikovi,,,,,,,,,,oceanodromous
Alosa caspia,Alosa caspia,anadromous,Full Migrant,anadromous,,,,,,,Anadromous,,,,,,,anadromous,Palearctic,one large river,Least Concern,Decreasing,2024,0-100(km),2,,Partial pop mig.,,,,,,,,,Alosa caspia,Alosa caspia,Alosa caspia caspia,,,,,,,Alosa caspia,,,
Alosa chrysochloris,Alosa chrysochloris,anadromous,Full Migrant,,Anadromous,,,,,,,,,,,,,anadromous,Nearctic,more than one central river,Least Concern,Unknown,2018,0-100(km),2,,,https://www.researchgate.net/publication/289193389_A_field_guide_to_freshwater_fishes_of_North_America_north_of_Mexico_2nd_edition,Book,https://doi.org/10.2307/1442900,Paper,https://www.umesc.usgs.gov/data_library/fisheries/fish_passage/pigg.html,Paper,,,Alosa chrysochloris,Alosa chrysochloris,,Alosa chrysochloris,,,,,,,,,
Alosa fallax,Alosa fallax,anadromous,Full Migrant,anadromous,,,,,,,Anadromous,,,,,,,anadromous,Palearctic,more than one central river,Least Concern,Unknown,2024,100-500(km),2,,Partial pop mig.,https://doi.org/10.1111/jfb.12115,Paper,https://doi.org/10.1111/j.1600-0633.2008.00350.x,Paper,,,,,Alosa fallax,Alosa fallax,Alosa fallax nilotica,,,,,,,Alosa fallax,,,
Alosa immaculata,Alosa immaculata,anadromous,Full Migrant,,,,,,,,Anadromous,,,,,,,anadromous,Palearctic,more than one central river,Least Concern,Decreasing,2024,500-3000(km),2,,,https://animalsciencejournal.usamv.ro/pdf/2020/issue_2/Art67.pdf,Paper,https://doi.org/10.1063/1.5118080,Paper,,,,,Alosa immaculata,Alosa immaculata,,,,,,,,Alosa immaculata,,,anadromous
Alosa kessleri,Alosa kessleri,anadromous,Full Migrant,,,,,,,,Anadromous,,,,,,,anadromous,Palearctic,one large river,Least Concern,Stable,2024,500-3000(km),3,,,https://doi.org/10.1134/S0032945223040227,Paper,https://doi.org/10.1134/S0032945223040227,Paper,,,,,Alosa kessleri,Alosa kessleri,,,,,,,,Alosa kessleri,,,
Alosa maeotica,Alosa maeotica,,Full Migrant,,,,,,,,Estuarine,,,,,,,amphidromous,Palearctic,more than one central river,Least Concern,Stable,2024,0-100(km),3,,,,,,,,,,,,Alosa maeotica,,,,,,,,Alosa maeotica,,,anadromous
Alosa mediocris,Alosa mediocris,anadromous,Full Migrant,,Anadromous,,,,,,,,,,,,,anadromous,Nearctic,more than one central river,Least Concern,Increasing,2013,100-500(km),3,,Partial pop mig.,,,,,,,,,Alosa mediocris,Alosa mediocris,,Alosa mediocris,,,,,,,,,
Alosa pseudoharengus,Alosa pseudoharengus,anadromous,Full Migrant,,Anadromous,,,,,,,,,,,,,anadromous,Nearctic,more than one central river,Least Concern,Unknown,2013,0-100(km),2,,Partial pop mig.,https://doi.org/10.1577/1548-8659(1974)103<312:SOTAAA>2.0.CO;2,Paper,https://doi.org/10.1577/1548-8659(1975)104<483:MBAGOJ>2.0.CO;2,Paper,,,,,Alosa pseudoharengus,Alosa pseudoharengus,,Alosa pseudoharengus,,,,,,,,,
Alosa sapidissima,Alosa sapidissima,anadromous,Full Migrant,,Anadromous,,,,,,,,,,,,,anadromous,Nearctic,more than one central river,Least Concern,Unknown,2019,500-3000(km),3,,,https://doi.org/10.1139/f99-04,Paper,,,,,,,Alosa sapidissima,Alosa sapidissima,,Alosa sapidissima,,,,,,,,,
Alosa saposchnikowii,Alosa saposchnikowii,potamodromous,,potamodromous,,,,,,,,,,,,,,coastal,Palearctic,coastal,Data Deficient,Unknown,2017,non-migratory,3,,,,,,,,,,,Alosa saposchnikowii,,Alosa saposhnikovi,,,,,,,,,,non-anadromous
Alosa tanaica,Alosa tanaica,anadromous,Full Migrant,,,,,,,,Anadromous,,,,,,,anadromous,Palearctic,more than one central river,Least Concern,Decreasing,2024,0-100(km),2,,,https://doi.org/10.15835/buasvmcn-asb:11947,Paper,,,,,,,Alosa tanaica,Alosa tanaica,,,,,,,,Alosa tanaica,,,
Alosa volgensis,Alosa volgensis,anadromous,Full Migrant,,,,,,,,Anadromous,,,,,,,anadromous,Palearctic,more than one central river,Extinct,Unspecified,2024,100-500(km),2,,,https://doi.org/10.1111/j.1365-2486.2008.01794.x,Paper,,,,,,,Alosa volgensis,Alosa volgensis,,,,,,,,Alosa volgensis,,,
Amatolacypris trevelyani,Amatolacypris trevelyani,,,,,,,,,,,0-20,,,,,,little information,NA,more than one central river,NA (Not in IUCN),NA (Not in IUCN),NA (Not in IUCN),little information,0,,,,,,,,,,,,,,,,,,,,,Barbus trevelyani,,
Pseudoambassis agassizii,Ambassis agassizii,potamodromous,Full Migrant,potamodromous,,,,,,,,,,,Breeding,"suggested sideways movement for vegetation, but no aquarium breeding successful (https://watermark.silverchair.com/az_2008_026.pdf?token=AQECAHi208BE49Ooan9kkhW_Ercy7Dm3ZL_9Cf3qfKAc485ysgAAA2MwggNfBgkqhkiG9w0BBwagggNQMIIDTAIBADCCA0UGCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQMQvwjp8EOeY58TRP-AgEQgIIDFqwuM-qDceuvRcZTlMMCxaWwtuRH_qEpfIejurl3FkSrS6_WPxOBkWPOvcOAKSOqVGbqxlqlusxvZ_DiOQDNb5PlzqhW8e8V7-C8e3sGFoKgrjKqRY-izczugcAEJ3uLOpalXbXcw7Vko69o_UrHgANztpLo4uSmOcIVnh_01dDnAMMzbw-79pgDgZ_lf4Knm3rL_hcPwrUP31c-WZb4Hu5Bai5IdZlltXjTGpDWdPdR0dLpCV_fh0JrtIVsAlbo06eZUxsn79udBfAPK5UzdpSX1G2MVqXyDTKSzHtRDNs5Fe6eXxQtM5VExZ-o12szBIqszJkVVI4PX7bkNib2jabMUYu4C1q9OXsEhjTh0G2BzVPO8hmJJGiwZAYyYFRVwPl27FCvoMW8S-um1CTZKLDsHhjxB-0tbNyUJ8xtVGpERr0j4VRdX7fw2GP8q2VAD2jvSCbGub_EpaqiHVMQjwZQ1cHJ8t1tQ-sNkmVmgOdS0AO0G3yiliDPfIego2d7tx90h702bJilq790CMMVrA8XzlvTf2LZhIPxPJn2q801AZRpzvpSPMBGzMvkIq8IlfV8LQTXm2bQDsrDeC5skjqXyPH8WkEEb9TRP75AGqJHNvzMFQiODWofPs8mP7Dp9uQQnxhqcJWTl70gJl5NcfUFM8IeY2pPNrb4t26xk0FNbsuX5DwpT3resBsdc8pefcbDcLWJ0wSYSEC3Ew8fr0cLx2AqjwfzytvkKEWBOyrIv9frcF_WhjP8WTPQ5zgQ4bhx0mRU4qt6CUDxzXq9pPpFVqLKGE0MXGHMd7kBBzcEmcONj6k0vTYtSmo-qDIeKfFGRcSNWvTO72Kx8D8tHP8vSKF3DZ3DW-ilorq8bjDIDCOc-wFIJ-lqQQVZO82YEvwDE-zPhcfTk0I-X5l-Ofzxv5EjqUfjJEaIEI_9e0gRp-2sLXC2LhjTC9R7WR00cPcaKmDbrxLsgv9g6hoWntWdLsEbEyP4k4KeMG4BMV-vaWTzevwEl4Kny5q6dF-lvTuuqhZ-57mIzgMJo1fWr0CowX5s4Tc); suggests perhaps migratory requirement",,little information,Australasian,one large river,Least Concern,Stable,2019,little information,0,,,,,,,,,,,Ambassis agassizii,Ambassis agassizii,Ambassis agassizi,,,,,,,,,,
Ambassis ambassis,Ambassis ambassis,,,oceano-estuarine,,,,,,,,,,,,,,amphidromous,Afrotropical|Australasian|Indomalayan,coastal,Least Concern,Unknown,2017,0-100(km),3,,,,,,,,,,,,,Ambassis commersonii,,,,,,,,,,
Ambassis ambassis,Ambassis gymnocephalus,amphidromous,,,,,,,,,,,,,,,,amphidromous,Australasian|Indomalayan,coastal,Least Concern,Unknown,2021,0-100(km),3,,,,,,,,,,,Ambassis gymnocephalus,,,,,,,,,,,,
Ambassis interrupta,Ambassis interrupta,amphidromous,,,,,,,,,,,,,,,,amphidromous,Australasian|Indomalayan|Oceanian,coastal,Least Concern,Unknown,2021,0-100(km),3,,,https://doi.org/10.1071/MF9900267,Paper,,,,,,,Ambassis interrupta,,,,,,,,,,,,
Ambassis kopsii,Ambassis kopsii,amphidromous,,,,,Estuarine,,,,,,,,,,,amphidromous,,coastal,Least Concern,Unknown,2024,0-100(km),3,,,,,,,,,,,Ambassis kopsii,,,,,Ambassis kopsii,,,,,,,
Ambassis miops,Ambassis miops,amphidromous,Full Migrant,,,,,,,,,,,,,,,amphidromous,Australasian|Indomalayan|Oceanian,coastal,Least Concern,Stable,2019,0-100(km),3,,,https://doi.org/10.1002/aqc.1086,Paper,,,,,,,Ambassis miops,Ambassis miops,,,,,,,,,,,
Ambassis nalua,Ambassis nalua,amphidromous,,,,,,,,,,,,,,,,amphidromous,Australasian|Indomalayan|Oceanian,coastal,Least Concern,Unknown,2021,0-100(km),3,,,https://doi.org/10.1016/S0272-7714(05)80004-6,Paper,,,,,,,Ambassis nalua,,,,,,,,,,,,
Ambassis urotaenia,Ambassis urotaenia,amphidromous,,,,,,,,,,,,,,,,amphidromous,Afrotropical|Australasian|Indomalayan|Oceanian,coastal,Least Concern,Stable,2022,0-100(km),3,,,,,,,,,,,Ambassis urotaenia,,,,,,,,,,,,
Ambastaia nigrolineata,Ambastaia nigrolineata,,,,,,,,,,,,,"Short distance, potamodromous",,,,"potamodromous, longitudinal",,more than one central river,Vulnerable,Decreasing,2012,100-500(km),3,,,https://doi.org/10.1080/23308249.2024.2401018,Paper,,,,,,,,,,,,,,,,,,,
Ambastaia sidthimunki,Ambastaia sidthimunki,,,,,,White,,,,,,,"Short distance, potamodromous",,,Mekong Delta Database,"potamodromous, longitudinal",Indomalayan,one large river,Endangered,Decreasing,2011,100-500(km),3,,,https://doi.org/10.1080/23308249.2024.2401018,Paper,,,,,,,,,,,,Ambastaia sidthimunki,,,,,,,
Ambloplites ariommus,Ambloplites ariommus,,Not a Migrant,,Potamodromous,,,,,,,,,,,,,non-migratory,Nearctic,more than one central river,Least Concern,Stable,2013,non-migratory,3,,,,,,,,,,,,,,Ambloplites ariommus,,,,,,,,,
Ambloplites cavifrons,Ambloplites cavifrons,,,,Suspected potamodromous,,,,,,,,,,,,,little information,Nearctic,one large river,Least Concern,Stable,2013,little information,0,,,,,,,,,,,,,,Ambloplites cavifrons,,,,,,,,,
Amblyeleotris gymnocephala,Amblyeleotris gymnocephala,amphidromous,,,,,,,,,,,,,,,,amphidromous,,coastal,Least Concern,Unknown,2019,0-100(km),3,,,,,,,,,,,Amblyeleotris gymnocephala,,,,,,,,,,,,
Troglichthys rosae,Amblyopsis rosae,potamodromous,,,,,,,,,,,,,,waiting for access to (https://link.springer.com/chapter/10.1007/978-94-015-9795-1_13),,non-migratory,NA,cave,Near Threatened,Unknown,2012,non-migratory,3,,,,,,,,,,,Amblyopsis rosae,,,,,,,,,,,,
Amblypharyngodon melettinus,Amblypharyngodon melettinus,potamodromous,Full Migrant,,,,,,,,,,,,Breeding,IUCN,IUCN,"potamodromous, lateral",Indomalayan,more than one central river,Least Concern,Unknown,2011,0-100(km),2,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC6367594/,,,,,,,,Amblypharyngodon melettinus,Amblypharyngodon melettinus,,,,,,,,,,,potamodromous
Amblyrhynchichthys truncatus,Amblyrhynchichthys truncatus,potamodromous,Full Migrant,,,,White,,,,,,,,Little information,,Mekong Delta Database,"potamodromous, longitudinal",Indomalayan,more than one central river,Least Concern,Stable,2019,0-100(km),1,,,,,,,,,,,Amblyrhynchichthys truncatus,Amblyrhynchichthys truncatus,,,,Amblyrhynchichthys truncatus,,,,,,,
Ameiurus catus,Ameiurus catus,potamodromous,,,Suspected potamodromous,,,,,,,,,,,"most in-depth assessment from https://bioone.org/journals/southeastern-naturalist/volume-16/issue-3/058.016.0319/Relative-Abundance-Growth-and-Mortality-of-the-White-Catfish-Ameiurus/10.1656/058.016.0319.full, which doesn't mention breeding behavior",,non-migratory,Nearctic,more than one central river,Least Concern,Stable,2013,non-migratory,3,,,,,,,,,,,Ameiurus catus,,,Ameiurus catus,,,,,,,,,
Ameiurus melas,Ameiurus melas,amphidromous,Not a Migrant,,Potamodromous,,,,,,,,,,,,,non-migratory,Nearctic,more than one central river,Least Concern,Stable,2013,non-migratory,3,,,https://animaldiversity.org/accounts/Ameiurus_melas/,Other,"Movchan, Y.V., Talabishka, E.M., & Velikopolskiy, I.J. (2014). Fishes of the Genus Ameiurus (Ictaluridae, Siluriformes) in the Transcarpathian Water Bodies. Vestnik Zoologii, 48, 149 - 156.",Paper,,,,,Ameiurus melas,,,Ameiurus melas,,,,,,,,,
Ameiurus nebulosus,Ameiurus nebulosus,,Not a Migrant,,Potamodromous,,,,,,,,,,,,,non-migratory,Nearctic,more than one central river,Least Concern,Stable,2013,non-migratory,3,,,https://www.proquest.com/openview/793c54b2128adac2099cf6e9601e2e63/1?cbl=18750&diss=y&pq-origsite=gscholar&parentSessionId=7TzJRoe%2FsHr4JQ5Pd00nehqfNK3Jb2mevKISMr96Bm0%3D,Report,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103081/Ameiurus_nebulosus,Database,,,,,,,,Ameiurus nebulosus,,,,,,,,,
Amia calva,Amia calva,,Not a Migrant,,Potamodromous,,,,,,,,,,Little information,,,non-migratory,Nearctic,more than one central river,Least Concern,Stable,2013,non-migratory,2,,,https://www.vliz.be/imisdocs/publications/ocrd/232277.pdf,Book,,,,,,,,,,Amia calva,,,,,,,,,
Ammocrypta clara,Ammocrypta clara,,Not a Migrant,,Potamodromous,,,,,,,,,,,,,non-migratory,Nearctic,more than one central river,Vulnerable,Decreasing,2014,non-migratory,2,,,"Neebling, T.E., & Quist, M.C. (2008). Observations on the Distribution and Status of Western Sand Darter, Spotted Gar, and Skipjack Herring in Iowa Rivers. The Journal of the Iowa Academy of Science: JIAS, 115, 24-27.",Paper,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105965/Ammocrypta_clara,Database,,,,,,,,Ammocrypta clara,,,,,,,,,
